"sex" "age" "prov" "n" "E"
"1" "M" 0 "X1" 0 "9362.5"
"2" "M" 1 "X1" 0 "9142"
"3" "M" 2 "X1" 0 "8993.5"
"4" "M" 3 "X1" 0 "8886.5"
"5" "M" 4 "X1" 1 "8817"
"6" "M" 5 "X1" 0 "8817"
"7" "M" 6 "X1" 0 "8908.5"
"8" "M" 7 "X1" 1 "9020"
"9" "M" 8 "X1" 0 "9134.5"
"10" "M" 9 "X1" 0 "9063"
"11" "M" 10 "X1" 0 "8951"
"12" "M" 11 "X1" 1 "8773.5"
"13" "M" 12 "X1" 0 "8748.5"
"14" "M" 13 "X1" 0 "9085"
"15" "M" 14 "X1" 0 "9196.5"
"16" "M" 15 "X1" 0 "9374.5"
"17" "M" 16 "X1" 0 "9877.5"
"18" "M" 17 "X1" 0 "10141"
"19" "M" 18 "X1" 2 "10336.5"
"20" "M" 19 "X1" 1 "10750"
"21" "M" 20 "X1" 0 "11440"
"22" "M" 21 "X1" 1 "12350"
"23" "M" 22 "X1" 0 "13329"
"24" "M" 23 "X1" 2 "14551.5"
"25" "M" 24 "X1" 0 "15712.5"
"26" "M" 25 "X1" 0 "16373"
"27" "M" 26 "X1" 0 "16873.5"
"28" "M" 27 "X1" 2 "17275"
"29" "M" 28 "X1" 1 "17350.5"
"30" "M" 29 "X1" 1 "17612"
"31" "M" 30 "X1" 1 "17905.5"
"32" "M" 31 "X1" 3 "17751.5"
"33" "M" 32 "X1" 2 "17969.5"
"34" "M" 33 "X1" 5 "18139.5"
"35" "M" 34 "X1" 2 "18197.5"
"36" "M" 35 "X1" 0 "17762"
"37" "M" 36 "X1" 2 "16743"
"38" "M" 37 "X1" 8 "16321.5"
"39" "M" 38 "X1" 6 "16027"
"40" "M" 39 "X1" 3 "15788.5"
"41" "M" 40 "X1" 2 "15544"
"42" "M" 41 "X1" 7 "15331"
"43" "M" 42 "X1" 7 "15302.5"
"44" "M" 43 "X1" 4 "15120.5"
"45" "M" 44 "X1" 12 "14974"
"46" "M" 45 "X1" 12 "14651.5"
"47" "M" 46 "X1" 20 "14471"
"48" "M" 47 "X1" 13 "14514"
"49" "M" 48 "X1" 11 "14783"
"50" "M" 49 "X1" 15 "15410"
"51" "M" 50 "X1" 22 "16315.5"
"52" "M" 51 "X1" 33 "16968"
"53" "M" 52 "X1" 38 "16832.5"
"54" "M" 53 "X1" 26 "14929.5"
"55" "M" 54 "X1" 31 "13593.5"
"56" "M" 55 "X1" 43 "14016.5"
"57" "M" 56 "X1" 54 "14092"
"58" "M" 57 "X1" 47 "14331"
"59" "M" 58 "X1" 53 "15264.5"
"60" "M" 59 "X1" 70 "16087"
"61" "M" 60 "X1" 65 "16006.5"
"62" "M" 61 "X1" 81 "15193.5"
"63" "M" 62 "X1" 84 "14147"
"64" "M" 63 "X1" 106 "13783.5"
"65" "M" 64 "X1" 109 "13439"
"66" "M" 65 "X1" 97 "12840.5"
"67" "M" 66 "X1" 141 "12429"
"68" "M" 67 "X1" 106 "12276"
"69" "M" 68 "X1" 159 "12211"
"70" "M" 69 "X1" 142 "11622"
"71" "M" 70 "X1" 156 "10725.5"
"72" "M" 71 "X1" 138 "9957.5"
"73" "M" 72 "X1" 130 "9270"
"74" "M" 73 "X1" 116 "8622.5"
"75" "M" 74 "X1" 124 "7989.5"
"76" "M" 75 "X1" 128 "7550.5"
"77" "M" 76 "X1" 119 "7171.5"
"78" "M" 77 "X1" 128 "6617"
"79" "M" 78 "X1" 125 "6031.5"
"80" "M" 79 "X1" 104 "4602"
"81" "M" 80 "X1" 74 "3051.5"
"82" "M" 81 "X1" 64 "2513.5"
"83" "M" 82 "X1" 74 "2607"
"84" "M" 83 "X1" 78 "2934"
"85" "M" 84 "X1" 84 "2973.5"
"86" "M" 85 "X1" 93 "2651.5"
"87" "M" 86 "X1" 77 "2347.5"
"88" "M" 87 "X1" 72 "1970.5"
"89" "M" 88 "X1" 55 "1536.5"
"90" "M" 89 "X1" 48 "1181.5"
"91" "M" 90 "X1" 31 "926.5"
"92" "M" 91 "X1" 19 "674"
"93" "M" 92 "X1" 20 "473.5"
"94" "M" 93 "X1" 17 "352.5"
"95" "M" 94 "X1" 16 "244"
"96" "M" 95 "X1" 5 "146"
"97" "M" 96 "X1" 4 "110.5"
"98" "M" 97 "X1" 1 "73.5"
"99" "M" 98 "X1" 1 "52"
"100" "M" 99 "X1" 2 "24"
"101" "M" 100 "X1" 0 "32"
"203" "M" 0 "X2" 0 "676"
"204" "M" 1 "X2" 0 "674.5"
"205" "M" 2 "X2" 0 "671"
"206" "M" 3 "X2" 0 "680"
"207" "M" 4 "X2" 0 "696"
"208" "M" 5 "X2" 0 "679"
"209" "M" 6 "X2" 0 "691.5"
"210" "M" 7 "X2" 0 "705.5"
"211" "M" 8 "X2" 0 "701.5"
"212" "M" 9 "X2" 0 "685.5"
"213" "M" 10 "X2" 0 "689.5"
"214" "M" 11 "X2" 0 "710.5"
"215" "M" 12 "X2" 0 "680.5"
"216" "M" 13 "X2" 0 "696"
"217" "M" 14 "X2" 0 "750.5"
"218" "M" 15 "X2" 0 "735"
"219" "M" 16 "X2" 0 "741.5"
"220" "M" 17 "X2" 0 "806.5"
"221" "M" 18 "X2" 0 "812"
"222" "M" 19 "X2" 0 "827"
"223" "M" 20 "X2" 0 "898"
"224" "M" 21 "X2" 0 "950"
