   car age district   y    n
1    1   1        0  65  317
2    1   2        0  65  476
3    1   3        0  52  486
4    1   4        0 310 3259
5    2   1        0  98  486
6    2   2        0 159 1004
7    2   3        0 175 1355
8    2   4        0 877 7660
9    3   1        0  41  223
10   3   2        0 117  539
11   3   3        0 137  697
12   3   4        0 477 3442
13   4   1        0  11   40
14   4   2        0  35  148
15   4   3        0  39  214
16   4   4        0 167 1019
17   1   1        1   2   20
18   1   2        1   5   33
19   1   3        1   4   40
20   1   4        1  36  316
21   2   1        1   7   31
22   2   2        1  10   81
23   2   3        1  22  122
24   2   4        1 102  724
25   3   1        1   5   18
26   3   2        1   7   39
27   3   3        1  16   68
28   3   4        1  63  344
29   4   1        1   0    3
30   4   2        1   6   16
31   4   3        1   8   25
32   4   4        1  33  114
