"color" "spine" "width" "satell" "weight" "y"
"1" "medium" "bad" 28.3 8 3050 1
"2" "dark" "bad" 22.5 0 1550 0
"3" "light" "good" 26 9 2300 1
"4" "dark" "bad" 24.8 0 2100 0
"5" "dark" "bad" 26 4 2600 1
"6" "medium" "bad" 23.8 0 2100 0
"7" "light" "good" 26.5 0 2350 0
"8" "dark" "middle" 24.7 0 1900 0
"9" "medium" "good" 23.7 0 1950 0
"10" "dark" "bad" 25.6 0 2150 0
"11" "dark" "bad" 24.3 0 2150 0
"12" "medium" "bad" 25.8 0 2650 0
"13" "medium" "bad" 28.2 11 3050 1
"14" "darker" "middle" 21 0 1850 0
"15" "medium" "good" 26 14 2300 1
"16" "light" "good" 27.1 8 2950 1
"17" "medium" "bad" 25.2 1 2000 1
"18" "medium" "bad" 29 1 3000 1
"19" "darker" "bad" 24.7 0 2200 0
"20" "medium" "bad" 27.4 5 2700 1
"21" "medium" "middle" 23.2 4 1950 1
"22" "light" "middle" 25 3 2300 1
"23" "medium" "good" 22.5 1 1600 1
"24" "dark" "bad" 26.7 2 2600 1
"25" "darker" "bad" 25.8 3 2000 1
"26" "darker" "bad" 26.2 0 1300 0
"27" "medium" "bad" 28.7 3 3150 1
"28" "medium" "good" 26.8 5 2700 1
"29" "darker" "bad" 27.5 0 2600 0
"30" "medium" "bad" 24.9 0 2100 0
"31" "light" "good" 29.3 4 3200 1
"32" "light" "bad" 25.8 0 2600 0
"33" "medium" "middle" 25.7 0 2000 0
"34" "medium" "good" 25.7 8 2000 1
"35" "medium" "good" 26.7 5 2700 1
"36" "darker" "bad" 23.7 0 1850 0
"37" "medium" "bad" 26.8 0 2650 0
"38" "medium" "bad" 27.5 6 3150 1
"39" "darker" "bad" 23.4 0 1900 0
"40" "medium" "bad" 27.9 6 2800 1
"41" "dark" "bad" 27.5 3 3100 1
"42" "light" "good" 26.1 5 2800 1
"43" "light" "good" 27.7 6 2500 1
"44" "medium" "good" 30 5 3300 1
"45" "dark" "good" 28.5 9 3250 1
"46" "dark" "bad" 28.9 4 2800 1
"47" "medium" "bad" 28.2 6 2600 1
"48" "medium" "bad" 25 4 2100 1
"49" "medium" "bad" 28.5 3 3000 1
"50" "medium" "good" 30.3 3 3600 1
"51" "darker" "bad" 24.7 5 2100 1
"52" "medium" "bad" 27.7 5 2900 1
"53" "light" "good" 27.4 6 2700 1
"54" "medium" "bad" 22.9 4 1600 1
"55" "medium" "good" 25.7 5 2000 1
"56" "medium" "bad" 28.3 15 3000 1
"57" "medium" "bad" 27.2 3 2700 1
"58" "dark" "bad" 26.2 3 2300 1
"59" "medium" "good" 27.8 0 2750 0
"60" "darker" "bad" 25.5 0 2250 0
"61" "dark" "bad" 27.1 0 2550 0
"62" "dark" "bad" 24.5 5 2050 1
"63" "dark" "good" 27 3 2450 1
"64" "medium" "bad" 26 5 2150 1
"65" "medium" "bad" 28 1 2800 1
"66" "medium" "bad" 30 8 3050 1
"67" "medium" "bad" 29 10 3200 1
"68" "medium" "bad" 26.2 0 2400 0
"69" "medium" "good" 26.5 0 1300 0
"70" "medium" "bad" 26.2 3 2400 1
"71" "dark" "bad" 25.6 7 2800 1
"72" "dark" "bad" 23 1 1650 1
"73" "dark" "bad" 23 0 1800 0
"74" "medium" "bad" 25.4 6 2250 1
"75" "dark" "bad" 24.2 0 1900 0
"76" "medium" "middle" 22.9 0 1600 0
"77" "dark" "middle" 26 3 2200 1
"78" "medium" "bad" 25.4 4 2250 1
"79" "dark" "bad" 25.7 0 1200 0
"80" "medium" "bad" 25.1 5 2100 1
"81" "dark" "middle" 24.5 0 2250 0
"82" "darker" "bad" 27.5 0 2900 0
"83" "dark" "bad" 23.1 0 1650 0
"84" "dark" "good" 25.9 4 2550 1
"85" "medium" "bad" 25.8 0 2300 0
"86" "darker" "bad" 27 3 2250 1
"87" "medium" "bad" 28.5 0 3050 0
"88" "darker" "good" 25.5 0 2750 0
"89" "darker" "bad" 23.5 0 1900 0
"90" "medium" "middle" 24 0 1700 0
"91" "medium" "good" 29.7 5 3850 1
"92" "medium" "good" 26.8 0 2550 0
"93" "darker" "bad" 26.7 0 2450 0
"94" "medium" "good" 28.7 0 3200 0
"95" "dark" "bad" 23.1 0 1550 0
"96" "medium" "good" 29 1 2800 1
"97" "dark" "bad" 25.5 0 2250 0
"98" "dark" "bad" 26.5 1 1967 1
"99" "dark" "bad" 24.5 1 2200 1
"100" "dark" "bad" 28.5 1 3000 1
"101" "medium" "bad" 28.2 1 2867 1
"102" "medium" "bad" 24.5 1 1600 1
