"gender"	"age"	"deaths"	"exposure"
"1"	"F"	60	987	374437
"2"	"M"	60	1655	349392.5
"3"	"F"	61	1020	358153
"4"	"M"	61	1849	331216
"5"	"F"	62	917	340563.5
"6"	"M"	62	1827	310500.5
"7"	"F"	63	1092	340353
"8"	"M"	63	2000	306762
"9"	"F"	64	1140	342339.5
"10"	"M"	64	2240	305587
"11"	"F"	65	1255	336838
"12"	"M"	65	2421	297396.5
"13"	"F"	66	1310	332320.5
"14"	"M"	66	2553	288491.5
"15"	"F"	67	1415	332407.5
"16"	"M"	67	2673	283016
"17"	"F"	68	1578	341958
"18"	"M"	68	2954	286048.5
"19"	"F"	69	1675	334183
"20"	"M"	69	3285	274581.5
"21"	"F"	70	1666	318010.5
"22"	"M"	70	3086	256691.5
"23"	"F"	71	1852	314397
"24"	"M"	71	3394	248101.5
"25"	"F"	72	1890	308846
"26"	"M"	72	3457	236554.5
"27"	"F"	73	1943	302600.5
"28"	"M"	73	3481	224341
"29"	"F"	74	2109	295337
"30"	"M"	74	3494	212990.5
"31"	"F"	75	2308	288512
"32"	"M"	75	3496	202071
"33"	"F"	76	2387	282212.5
"34"	"M"	76	3443	188955.5
"35"	"F"	77	2442	272422.5
"36"	"M"	77	3360	174927.5
"37"	"F"	78	2297	261289
"38"	"M"	78	3100	163238.5
"39"	"F"	79	2248	206217.5
"40"	"M"	79	3004	125512.5
"41"	"F"	80	1354	137491.5
"42"	"M"	80	1651	81127.5
"43"	"F"	81	1348	116404.5
"44"	"M"	81	1630	66904
"45"	"F"	82	1447	126598
"46"	"M"	82	1738	71156.5
"47"	"F"	83	1887	149492.5
"48"	"M"	83	2074	81184.5
"49"	"F"	84	2118	157312.5
"50"	"M"	84	2196	82199.5
"51"	"F"	85	2065	146780
"52"	"M"	85	2116	74296
"53"	"F"	86	1931	132949.5
"54"	"M"	86	1869	65233
"55"	"F"	87	1792	114463
"56"	"M"	87	1592	53254.5
"57"	"F"	88	1525	97353
"58"	"M"	88	1365	42768
"59"	"F"	89	1368	80337
"60"	"M"	89	1056	33412
"61"	"F"	90	1141	64019
"62"	"M"	90	778	24806.5
