"y" "n" "chol" "bp"
"1" 2 53 194 110
"2" 0 21 204.5 110
"3" 0 15 214.5 110
"4" 0 20 232 110
"5" 0 14 252 110
"6" 1 22 272 110
"7" 0 11 290 110
"8" 0 66 194 122
"9" 2 27 204.5 122
"10" 1 25 214.5 122
"11" 8 69 232 122
"12" 0 24 252 122
"13" 5 22 272 122
"14" 1 19 290 122
"15" 2 59 194 132
"16" 0 34 204.5 132
"17" 2 21 214.5 132
"18" 2 83 232 132
"19" 0 33 252 132
"20" 2 26 272 132
"21" 4 28 290 132
"22" 1 65 194 142
"23" 0 19 204.5 142
"24" 0 26 214.5 142
"25" 6 81 232 142
"26" 3 23 252 142
"27" 2 34 272 142
"28" 4 23 290 142
"29" 2 37 194 152
"30" 0 16 204.5 152
"31" 0 6 214.5 152
"32" 3 29 232 152
"33" 2 19 252 152
"34" 4 16 272 152
"35" 1 16 290 152
"36" 1 13 194 162
"37" 0 10 204.5 162
"38" 0 11 214.5 162
"39" 1 15 232 162
"40" 0 11 252 162
"41" 2 13 272 162
"42" 4 12 290 162
"43" 3 21 194 172
"44" 0 5 204.5 172
"45" 0 11 214.5 172
"46" 2 27 232 172
"47" 2 5 252 172
"48" 6 16 272 172
"49" 3 14 290 172
"50" 1 5 194 193
"51" 0 1 204.5 193
"52" 3 6 214.5 193
"53" 1 10 232 193
"54" 1 7 252 193
"55" 1 7 272 193
"56" 1 7 290 193
