"Ozone"	"Solar.R"	"Temp"	"wind_speed"
"1"	41	190	67	"(1.7,7.4]"
"2"	36	118	72	"(7.4,9.7]"
"3"	12	149	74	"(11.5,20.7]"
"4"	18	313	62	"(9.7,11.5]"
"5"	NA	NA	56	"(11.5,20.7]"
"6"	28	NA	66	"(11.5,20.7]"
"7"	23	299	65	"(7.4,9.7]"
"8"	19	99	59	"(11.5,20.7]"
"9"	8	19	61	"(11.5,20.7]"
"10"	NA	194	69	"(7.4,9.7]"
"11"	7	NA	74	"(1.7,7.4]"
"12"	16	256	69	"(7.4,9.7]"
"13"	11	290	66	"(7.4,9.7]"
"14"	14	274	68	"(9.7,11.5]"
"15"	18	65	58	"(11.5,20.7]"
"16"	14	334	64	"(9.7,11.5]"
"17"	34	307	66	"(11.5,20.7]"
"18"	6	78	57	"(11.5,20.7]"
"19"	30	322	68	"(9.7,11.5]"
"20"	11	44	62	"(7.4,9.7]"
"21"	1	8	59	"(7.4,9.7]"
"22"	11	320	73	"(11.5,20.7]"
"23"	4	25	61	"(7.4,9.7]"
"24"	32	92	61	"(11.5,20.7]"
"25"	NA	66	57	"(11.5,20.7]"
"26"	NA	266	58	"(11.5,20.7]"
"27"	NA	NA	57	"(7.4,9.7]"
"28"	23	13	67	"(11.5,20.7]"
"29"	45	252	81	"(11.5,20.7]"
"30"	115	223	79	"(1.7,7.4]"
"31"	37	279	76	"(1.7,7.4]"
"32"	NA	286	78	"(7.4,9.7]"
"33"	NA	287	74	"(7.4,9.7]"
"34"	NA	242	67	"(11.5,20.7]"
"35"	NA	186	84	"(7.4,9.7]"
"36"	NA	220	85	"(7.4,9.7]"
"37"	NA	264	79	"(11.5,20.7]"
"38"	29	127	82	"(7.4,9.7]"
"39"	NA	273	87	"(1.7,7.4]"
"40"	71	291	90	"(11.5,20.7]"
"41"	39	323	87	"(9.7,11.5]"
"42"	NA	259	93	"(9.7,11.5]"
"43"	NA	250	92	"(7.4,9.7]"
"44"	23	148	82	"(7.4,9.7]"
